"統計名：","国民医療費"
"表番号：","17"
"表題：","国民医療費・人口一人当たり国民医療費，診療種類・都道府県別"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","統計項目のあり得ない場合"
"-","計数のない場合"
"-0.0"," "
"…","計数不明又は計数を表章することが不適当な場合"

"","","","","/国民医療費・人口一人当たり国民医療費、診療種類 補助コード","-","-","-","-","-","-","-","-","-","-","-"
"時間軸（年度次） 補助コード","時間軸（年度次）","都道府県 補助コード","都道府県","/国民医療費・人口一人当たり国民医療費、診療種類","国民医療費_総数【億円】","国民医療費_医科診療医療費【億円】","国民医療費_医科診療医療費_入院【億円】","国民医療費_医科診療医療費_入院外【億円】","国民医療費_歯科診療医療費【億円】","国民医療費_薬局調剤医療費【億円】","国民医療費_入院時食事・生活医療費【億円】","国民医療費_訪問看護医療費【億円】","国民医療費_療養費等【億円】","人口一人当たり国民医療費【千円】","総人口【千人】"
"","2016年度","","高知県","","3,174","2,389","1,494","895","154","505","93","10","22","440.2","721"
"","2016年度","","福岡県","","19,214","14,025","8,074","5,951","1,279","3,126","467","95","221","376.4","5,104"
"","2016年度","","佐賀県","","3,248","2,353","1,365","988","182","587","83","13","29","392.3","828"
"","2016年度","","長崎県","","5,607","4,134","2,492","1,642","305","937","152","16","63","410.2","1,367"
"","2016年度","","熊本県","","6,865","5,187","2,985","2,203","366","1,042","195","23","51","387.0","1,774"
"","2016年度","","大分県","","4,556","3,399","1,997","1,402","222","766","117","18","34","392.8","1,160"
"","2016年度","","宮崎県","","3,946","2,882","1,606","1,277","220","690","101","19","33","360.0","1,096"
"","2016年度","","鹿児島県","","6,622","5,021","3,011","2,010","319","988","202","27","65","404.5","1,637"
"","2016年度","","沖縄県","","4,306","3,296","1,957","1,339","251","605","105","18","32","299.2","1,439"
"","2015年度","","全国","","423,644","300,461","155,752","144,709","28,294","79,831","8,014","1,485","5,558","333.3","127,095"
"","2015年度","","北海道","","21,184","15,252","9,003","6,249","1,238","3,983","491","54","166","393.6","5,382"
"","2015年度","","青森県","","4,469","3,087","1,604","1,483","243","1,009","86","15","29","341.7","1,308"
"","2015年度","","岩手県","","4,145","2,849","1,488","1,362","271","901","87","10","26","323.8","1,280"
"","2015年度","","宮城県","","7,221","4,985","2,491","2,494","472","1,555","120","22","66","309.4","2,334"
"","2015年度","","秋田県","","3,751","2,532","1,412","1,120","217","893","76","6","27","366.6","1,023"
"","2015年度","","山形県","","3,821","2,717","1,442","1,275","230","761","76","9","29","340.0","1,124"
"","2015年度","","福島県","","6,335","4,427","2,295","2,132","373","1,341","120","13","59","331.0","1,914"
"","2015年度","","茨城県","","8,826","6,100","3,053","3,047","582","1,898","147","19","80","302.6","2,917"
"","2015年度","","栃木県","","6,008","4,374","2,062","2,312","374","1,071","104","13","71","304.3","1,974"
"","2015年度","","群馬県","","6,260","4,609","2,302","2,307","384","1,059","120","20","69","317.3","1,973"
"","2015年度","","埼玉県","","21,139","14,577","7,092","7,485","1,531","4,322","324","58","328","290.9","7,267"
"","2015年度","","千葉県","","18,118","12,472","6,128","6,344","1,365","3,708","279","48","247","291.1","6,223"
"","2015年度","","東京都","","41,433","28,170","13,764","14,406","3,146","8,556","620","168","773","306.6","13,515"
"","2015年度","","神奈川県","","27,186","18,198","8,816","9,381","2,119","5,995","377","84","413","297.9","9,126"
"","2015年度","","新潟県","","7,110","4,926","2,552","2,374","489","1,482","138","15","60","308.6","2,304"
"","2015年度","","富山県","","3,557","2,643","1,441","1,202","199","583","78","7","47","333.7","1,066"
"","2015年度","","石川県","","3,993","2,957","1,661","1,296","210","679","92","15","40","346.0","1,154"
"","2015年度","","福井県","","2,635","2,018","1,067","951","139","384","59","14","21","334.8","787"
"","2015年度","","山梨県","","2,772","1,932","998","934","167","578","53","8","34","332.0","835"
"","2015年度","","長野県","","6,756","4,782","2,536","2,246","405","1,352","118","21","78","321.9","2,099"
"","2015年度","","岐阜県","","6,668","4,746","2,263","2,482","465","1,230","108","26","92","328.1","2,032"
"","2015年度","","静岡県","","11,414","8,113","3,849","4,264","705","2,269","182","25","119","308.5","3,700"
"","2015年度","","愛知県","","22,468","16,005","7,371","8,633","1,759","3,939","332","112","321","300.3","7,483"
"","2015年度","","三重県","","5,794","4,205","2,057","2,148","372","1,039","106","21","51","319.1","1,816"
"","2015年度","","滋賀県","","4,222","3,007","1,602","1,404","265","816","77","16","42","298.8","1,413"
"","2015年度","","京都府","","8,994","6,587","3,454","3,133","559","1,482","169","34","164","344.6","2,610"
"","2015年度","","大阪府","","32,193","22,795","11,604","11,191","2,499","5,306","569","163","860","364.2","8,839"
"","2015年度","","兵庫県","","19,114","13,541","6,967","6,574","1,328","3,575","343","76","251","345.3","5,535"
"","2015年度","","奈良県","","4,637","3,466","1,716","1,751","300","705","81","22","63","340.0","1,364"
"","2015年度","","和歌山県","","3,607","2,670","1,317","1,353","211","565","71","22","67","374.2","964"
"","2015年度","","鳥取県","","2,000","1,453","826","627","117","371","43","7","9","349.1","573"
"","2015年度","","島根県","","2,628","1,916","1,083","833","134","498","59","10","11","378.7","694"
"","2015年度","","岡山県","","6,960","5,220","2,713","2,508","454","1,083","139","20","44","362.1","1,922"
"","2015年度","","広島県","","10,410","7,384","3,802","3,582","698","1,982","210","42","94","366.0","2,844"
"","2015年度","","山口県","","5,608","4,064","2,354","1,710","307","1,037","147","17","37","399.2","1,405"
"","2015年度","","徳島県","","2,968","2,229","1,197","1,032","182","436","76","13","32","392.5","756"
"","2015年度","","香川県","","3,727","2,678","1,394","1,284","235","695","75","11","33","381.8","976"
"","2015年度","","愛媛県","","5,202","3,925","2,056","1,869","278","817","118","25","39","375.6","1,385"
"","2015年度","","高知県","","3,233","2,427","1,497","929","154","525","95","9","23","444.0","728"
"","2015年度","","福岡県","","19,353","14,015","8,010","6,006","1,267","3,284","474","81","231","379.3","5,102"
"","2015年度","","佐賀県","","3,269","2,332","1,344","988","179","635","84","10","29","392.5","833"
"","2015年度","","長崎県","","5,661","4,132","2,475","1,656","302","995","154","15","64","411.1","1,377"
"","2015年度","","熊本県","","6,954","5,214","2,988","2,226","361","1,108","198","21","52","389.3","1,786"
"","2015年度","","大分県","","4,619","3,404","1,990","1,414","223","824","119","16","34","396.2","1,166"
"","2015年度","","宮崎県","","4,025","2,911","1,612","1,299","220","738","104","16","36","364.6","1,104"
"","2015年度","","鹿児島県","","6,705","5,045","3,000","2,045","317","1,046","205","24","68","406.9","1,648"
"","2015年度","","沖縄県","","4,495","3,370","2,003","1,367","248","719","111","15","32","313.5","1,434"
"","2014年度","","全国","","408,071","***","152,641","139,865","***","***","***","***","***","321.1","127,083"
"","2014年度","","北海道","","20,613","***","8,907","6,045","***","***","***","***","***","381.7","5,400"
"","2014年度","","青森県","","4,324","***","1,571","1,447","***","***","***","***","***","327.3","1,321"
"","2014年度","","岩手県","","4,069","***","1,495","1,321","***","***","***","***","***","316.9","1,284"
"","2014年度","","宮城県","","6,949","***","2,434","2,393","***","***","***","***","***","298.5","2,328"
"","2014年度","","秋田県","","3,688","***","1,408","1,106","***","***","***","***","***","355.6","1,037"
"","2014年度","","山形県","","3,712","***","1,405","1,259","***","***","***","***","***","328.2","1,131"
"","2014年度","","福島県","","6,185","***","2,279","2,081","***","***","***","***","***","319.6","1,935"
"","2014年度","","茨城県","","8,483","***","2,995","2,966","***","***","***","***","***","290.6","2,919"
"","2014年度","","栃木県","","5,807","***","2,037","2,226","***","***","***","***","***","293.3","1,980"
"","2014年度","","群馬県","","6,010","***","2,255","2,222","***","***","***","***","***","304.1","1,976"
"","2014年度","","埼玉県","","20,131","***","6,887","7,145","***","***","***","***","***","278.1","7,239"
"","2014年度","","千葉県","","17,333","***","5,926","6,122","***","***","***","***","***","279.7","6,197"
"","2014年度","","東京都","","39,679","***","13,426","13,787","***","***","***","***","***","296.3","13,390"
"","2014年度","","神奈川県","","25,989","***","8,589","9,026","***","***","***","***","***","285.7","9,096"
"","2014年度","","新潟県","","6,955","***","2,522","2,308","***","***","***","***","***","300.7","2,313"
"","2014年度","","富山県","","3,424","***","1,405","1,177","***","***","***","***","***","320.0","1,070"
"","2014年度","","石川県","","3,854","***","1,641","1,239","***","***","***","***","***","333.4","1,156"
"","2014年度","","福井県","","2,568","***","1,064","921","***","***","***","***","***","325.1","790"
"","2014年度","","山梨県","","2,649","***","974","893","***","***","***","***","***","315.0","841"
"","2014年度","","長野県","","6,532","***","2,509","2,198","***","***","***","***","***","309.7","2,109"
"","2014年度","","岐阜県","","6,386","***","2,190","2,385","***","***","***","***","***","312.9","2,041"
"","2014年度","","静岡県","","11,004","***","3,765","4,086","***","***","***","***","***","297.0","3,705"
"","2014年度","","愛知県","","21,569","***","7,186","8,292","***","***","***","***","***","289.3","7,455"
"","2014年度","","三重県","","5,590","***","2,007","2,096","***","***","***","***","***","306.3","1,825"
"","2014年度","","滋賀県","","4,084","***","1,583","1,364","***","***","***","***","***","288.4","1,416"
